PSX #3                       MAC 1.09b              1.09b retail

STAT InitL3Dungeon           InitL3Dungeon          AddFenceDoors
STAT DRLG_L3FillRoom         DRLG_L3FillRoom        FenceDoorFix
STAT DRLG_L3CreateBlock      DRLG_L3CreateBlock     DRLG_L3Anvil
STAT DRLG_L3FloorArea        DRLG_L3FloorArea       FixL3Warp
STAT DRLG_L3FillDiags        DRLG_L3FillDiags       FixL3HallofHeroes
STAT DRLG_L3FillSingles      DRLG_L3FillSingles     DRLG_L3LockRec
STAT DRLG_L3FillStraights    DRLG_L3FillStraights   DRLG_L3Lockout
STAT DRLG_L3Edges            DRLG_L3Edges           CreateL3Dungeon
STAT DRLG_L3GetFloorArea     DRLG_L3GetFloorArea    DRLG_L3
STAT DRLG_L3MakeMegas        DRLG_L3MakeMegas       InitL3Dungeon
STAT DRLG_L3River            DRLG_L3River           DRLG_L3FillRoom
STAT DRLG_L3SpawnEdge        DRLG_L3SpawnEdge       DRLG_L3CreateBlock
STAT DRLG_L3Spawn            DRLG_L3Spawn           DRLG_L3FloorArea
STAT DRLG_L3Pool             DRLG_L3Pool            DRLG_L3FillDiags
STAT DRLG_L3PoolFix          DRLG_L3PoolFix         DRLG_L3FillSingles
STAT DRLG_L3PlaceMiniSet     DRLG_L3PlaceMiniSet    DRLG_L3FillStraights
STAT DRLG_L3PlaceRndSet      DRLG_L3PlaceRndSet     DRLG_L3Edges
STAT WoodVertU               WoodVertU              DRLG_L3GetFloorArea
STAT WoodVertD               WoodVertD              DRLG_L3MakeMegas
STAT WoodHorizL              WoodHorizL             DRLG_L3River
STAT WoodHorizR              WoodHorizR             DRLG_L3Pool
EXT AddFenceDoors            AddFenceDoors          DRLG_L3Spawn
EXT FenceDoorFix             FenceDoorFix           DRLG_L3SpawnEdge
STAT DRLG_L3Wood             DRLG_L3Wood            DRLG_L3PoolFix
EXT DRLG_L3Anvil             DRLG_L3Anvil           DRLG_L3PlaceMiniSet
EXT FixL3Warp                FixL3Warp              DRLG_L3PlaceRndSet
EXT FixL3HallofHeroes        FixL3HallofHeroes      DRLG_L3Wood
EXT DRLG_L3LockRec           DRLG_L3LockRec         WoodVertU
EXT DRLG_L3Lockout           DRLG_L3Lockout         WoodVertD
STAT DRLG_L3                 DRLG_L3                WoodHorizL
STAT DRLG_L3Pass3            DRLG_L3Pass3           WoodHorizR
EXT CreateL3Dungeon          CreateL3Dungeon        DRLG_L3Pass3
EXT LoadL3Dungeon            LoadL3Dungeon          LoadL3Dungeon
EXT LoadPreL3Dungeon         LoadPreL3Dungeon       LoadPreL3Dungeon        
