MAC                        1.09
CelDrawDatOnly             CelDrawDatOnly           
CelDecodeOnly              CelDecodeOnly            
CelDecDatOnly              CelDecDatOnly            
CelDrawHdrOnly             CelDrawHdrOnly           
CelDecodeHdrOnly           CelDecodeHdrOnly     
CelDecDatLightOnly         CelDecDatLightOnly       
CelDecDatLightTrans        CelDecDatLightTrans      
CelDecodeLightOnly         CelDecodeLightOnly       
CelDecodeHdrLightOnly      CelDecodeHdrLightOnly    
CelDecodeHdrLightTrans     CelDecodeHdrLightTrans   
CelDrawHdrLightRed         CelDrawHdrLightRed       
Cel2DecDatOnly             Cel2DecDatOnly           
Cel2DrawHdrOnly            Cel2DrawHdrOnly          
Cel2DecodeHdrOnly          Cel2DecodeHdrOnly        
Cel2DecDatLightOnly        Cel2DecDatLightOnly      
Cel2DecDatLightTrans       Cel2DecDatLightTrans 
Cel2DecodeHdrLight         Cel2DecodeHdrLight       
Cel2DecodeLightTrans       Cel2DecodeLightTrans 
Cel2DrawHdrLightRed        Cel2DrawHdrLightRed      
CelDecodeRect              CelDecodeRect            
CelDecodeClr               CelDecodeClr         
CelDrawHdrClrHL            CelDrawHdrClrHL          
ENG_set_pixel              ENG_set_pixel            
engine_draw_pixel          engine_draw_pixel        
DrawLine                   DrawLine             
GetDirection               GetDirection         
SetRndSeed                 SetRndSeed               
GetRndSeed                 GetRndSeed               
random                     random                   
engine_debug_trap          engine_debug_trap        
DiabloAllocPtr             DiabloAllocPtr           
mem_free_dbg               mem_free_dbg         
LoadFileInMem              LoadFileInMem            
LoadFileWithMem            LoadFileWithMem          
Cl2ApplyTrans              Cl2ApplyTrans            
Cl2DecDatFrm1              Cl2DecodeFrm1            
Cl2DecDatFrm2              Cl2DecDatFrm1            
Cl2DecDatLightTbl1         Cl2DecodeFrm2            
Cl2DecDatFrm4              Cl2DecDatFrm2            
Cl2DecDatClrHL             Cl2DecodeFrm3            
Cl2DecDatLightTbl2         Cl2DecDatLightTbl1       
Cl2DecodeFrm1              Cl2DecodeLightTbl        
Cl2DecodeFrm2              Cl2DecodeFrm4            
Cl2DecodeFrm3              Cl2DecDatFrm4            
Cl2DecodeLightTbl          Cl2DecodeClrHL           
Cl2DecodeFrm4              Cl2DecDatClrHL           
Cl2DecodeClrHL             Cl2DecodeFrm5            
Cl2DecodeFrm5              Cl2DecDatLightTbl2       
Cl2DecodeFrm6              Cl2DecodeFrm6            
PlayInGameMovie            PlayInGameMovie          
