       MAC                              1.09                             EXTERN
static pfile_check_available_space      pfile_init_save_directory        Y
       pfile_init_save_directory        pfile_check_available_space       [pfile_init_save_directory]
static pfile_get_save_path              pfile_write_hero                 Y
static pfile_get_save_num_from_name     pfile_get_save_num_from_name      [pfile_write_hero]
static pfile_get_file_name              pfile_encode_hero                 [pfile_write_hero]
static pfile_read_hero                  pfile_open_archive                [pfile_write_hero]
static pfile_encode_hero                pfile_get_save_path               [pfile_open_archive]
static pfile_open_archive               pfile_flush                       [pfile_write_hero]
static pfile_flush                      pfile_create_player_description  Y
static pfile_open_save_archive          pfile_rename_hero                Y
static pfile_SFileCloseArchive          pfile_flush_W                    Y
static pfile_archive_contains_game      game_2_ui_player                  [pfile_create_player_description]
       pfile_write_hero                 game_2_ui_class                   [game_2_ui_player]
       pfile_create_player_description  pfile_ui_set_hero_infos          Y
       pfile_rename_hero                GetSaveDirectory                  [pfile_ui_set_hero_infos]
       pfile_flush_W                    pfile_read_hero                   [pfile_ui_set_hero_infos]
static pfile_get_player_class           pfile_open_save_archive           [pfile_ui_set_hero_infos]
static game_2_ui_class                  pfile_SFileCloseArchive           [pfile_ui_set_hero_infos]
static game_2_ui_player                 pfile_archive_contains_game       [pfile_ui_set_hero_infos]
static [GetSaveDirectory]               pfile_ui_set_class_stats         Y
       pfile_ui_set_hero_infos          pfile_get_player_class            [pfile_ui_set_class_stats]
       pfile_ui_set_class_stats         pfile_ui_save_create             Y
       pfile_ui_save_create             pfile_get_file_name               [pfile_ui_save_create]
       pfile_delete_save                pfile_delete_save                Y
       pfile_read_player_from_save      pfile_read_player_from_save      Y
       GetTempLevelNames                GetTempLevelNames                Y
       GetPermLevelNames                GetPermLevelNames                Y
       pfile_get_game_name              pfile_get_game_name              Y
static GetPermSaveNames                 pfile_remove_temp_files          Y
static GetTempSaveNames                 GetTempSaveNames                  [pfile_rename_temp_to_perm]
       pfile_remove_temp_files          pfile_rename_temp_to_perm        Y
       pfile_rename_temp_to_perm        GetPermSaveNames                  [pfile_rename_temp_to_perm]
static [pfile_strcpy]                   pfile_write_save_file            Y
       pfile_write_save_file            pfile_strcpy                      [pfile_write_save_file]
       pfile_read                       pfile_read                       Y
       pfile_update                     pfile_update                     Y
